GLAID,Borough,Priority,Empty,Bedroom
468,Bexley,4,1 to 3 years,4B
469,Bexley,2,1 to 3 years,3B
470,Bexley,2,1 to 3 years,3B
471,Bexley,2,1 to 3 years,3B
472,Bexley,4,1 to 3 years,3B
473,Bexley,3,1 to 3 years,2B
474,Bexley,3,Over 5 years,3B
475,Bexley,4,1 to 3 years,4B
476,Bexley,4,3 to 5 years,3B
477,Bexley,2,1 to 3 years,3B
478,Bexley,3,3 to 5 years,3B
481,Bexley,3,1 to 3 years,3B
482,Bexley,3,3 to 5 years,2B
483,Bexley,3,Over 5 years,3B
484,Bexley,3,Over 5 years,3B
485,Bexley,2,1 to 3 years,3B
486,Bexley,3,Over 5 years,2B
487,Bexley,2,1 to 3 years,2B
488,Bexley,2,3 to 5 years,3B
489,Bexley,2,1 to 3 years,3B
490,Bexley,2,1 to 3 years,3B
491,Bromley,3,Over 5 years,2B
492,Bromley,3,Over 5 years,3B
493,Bromley,2,1 to 3 years,2B
496,Bromley,2,3 to 5 years,2B
497,Bromley,2,1 to 3 years,2B
498,Bromley,4,Over 5 years,3B
499,Bromley,2,1 to 3 years,2B
500,Bromley,2,1 to 3 years,2B
501,Bromley,2,1 to 3 years,2B
502,Bromley,2,1 to 3 years,2B
505,Bromley,2,1 to 3 years,3B
506,Bromley,2,1 to 3 years,2B
508,Bromley,2,1 to 3 years,5B+
509,Bromley,2,1 to 3 years,5B+
510,Bromley,3,1 to 3 years,1B
511,Bromley,2,1 to 3 years,3B
512,Bromley,2,1 to 3 years,3B
513,Bromley,3,1 to 3 years,2B
514,Bromley,3,Over 5 years,1B
516,Bromley,5,Over 5 years,3B
517,Bromley,2,1 to 3 years,2B
518,Bromley,3,Over 5 years,2B
519,Bromley,2,1 to 3 years,4B
521,Bromley,2,1 to 3 years,1B
524,Bromley,2,1 to 3 years,4B
525,Bromley,5,1 to 3 years,2B
526,Bromley,1,1 to 3 years,5B+
527,Bromley,3,3 to 5 years,4B
528,Bromley,3,Over 5 years,2B
529,Bromley,2,1 to 3 years,3B
530,Bromley,2,1 to 3 years,2B
532,Bromley,2,1 to 3 years,4B
533,Bromley,2,1 to 3 years,3B
534,Bromley,2,1 to 3 years,2B
535,Bromley,3,1 to 3 years,4B
536,Bromley,2,1 to 3 years,5B+
537,Bromley,3,Over 5 years,3B
538,Bromley,4,Over 5 years,4B
539,Bromley,4,Over 5 years,3B
540,Bromley,2,1 to 3 years,3B
541,Bromley,4,Over 5 years,5B+
543,Bromley,1,1 to 3 years,4B
544,Bromley,3,3 to 5 years,2B
551,Bromley,3,3 to 5 years,2B
552,Bromley,3,Over 5 years,5B+
553,Bromley,2,1 to 3 years,2B
554,Bromley,1,1 to 3 years,4B
555,Bromley,3,Over 5 years,2B
556,Bromley,2,1 to 3 years,4B
557,Bromley,5,Over 5 years,3B
560,Bromley,2,1 to 3 years,1B
561,Bromley,2,1 to 3 years,1B
562,Bromley,2,1 to 3 years,1B
563,Bromley,4,1 to 3 years,3B
564,Bromley,2,1 to 3 years,2B
565,Bromley,3,1 to 3 years,5B+
566,Bromley,2,1 to 3 years,2B
567,Bromley,2,1 to 3 years,2B
568,Bromley,2,1 to 3 years,2B
569,Bromley,2,1 to 3 years,3B
571,Bromley,2,1 to 3 years,2B
572,Bromley,2,1 to 3 years,2B
573,Bromley,4,Over 5 years,3B
575,Bromley,2,1 to 3 years,2B
576,Bromley,2,1 to 3 years,2B
577,Bromley,3,1 to 3 years,3B
578,Bromley,1,1 to 3 years,3B
581,Bromley,2,1 to 3 years,2B
583,Bromley,3,3 to 5 years,1B
584,Bromley,2,1 to 3 years,2B
585,Bromley,2,1 to 3 years,4B
587,Bromley,1,1 to 3 years,2B
590,Bromley,2,1 to 3 years,2B
591,Bromley,4,Over 5 years,2B
592,Bromley,1,1 to 3 years,4B
593,Bromley,2,1 to 3 years,4B
594,Bromley,2,1 to 3 years,2B
595,Bromley,3,3 to 5 years,3B
596,Bromley,2,1 to 3 years,2B
